127.0.0.1 - - [30/Sep/2019:12:33:36 +0200] "GET / HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:53:57 +0200] "GET /Oblig2/login HTTP/1.1" 200 513
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:53:58 +0200] "GET /Oblig2/login HTTP/1.1" 200 513
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:53:58 +0200] "GET /Oblig2/login HTTP/1.1" 200 513
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:53:58 +0200] "GET /Oblig2/login HTTP/1.1" 200 513
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:53:59 +0200] "GET /Oblig2/login HTTP/1.1" 200 513
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:53:59 +0200] "GET /Oblig2/login HTTP/1.1" 200 513
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:54:00 +0200] "GET /Oblig2/login HTTP/1.1" 200 513
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:54:04 +0200] "GET /Oblig2/login HTTP/1.1" 200 514
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:54:08 +0200] "POST /Oblig2/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:54:08 +0200] "GET /Oblig2/login?feilkode=1 HTTP/1.1" 200 518
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:54:24 +0200] "GET /Oblig2/login?feilkode=1 HTTP/1.1" 200 518
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:54:25 +0200] "GET /Oblig2/login?feilkode=1 HTTP/1.1" 200 518
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:54:25 +0200] "GET /Oblig2/login?feilkode=1 HTTP/1.1" 200 518
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:54:25 +0200] "GET /Oblig2/login?feilkode=1 HTTP/1.1" 200 518
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:54:25 +0200] "GET /Oblig2/login?feilkode=1 HTTP/1.1" 200 518
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:54:26 +0200] "GET /Oblig2/login?feilkode=1 HTTP/1.1" 200 518
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:54:26 +0200] "GET /Oblig2/login?feilkode=1 HTTP/1.1" 200 518
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:54:26 +0200] "GET /Oblig2/login?feilkode=1 HTTP/1.1" 200 518
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:54:26 +0200] "GET /Oblig2/login?feilkode=1 HTTP/1.1" 200 518
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:54:26 +0200] "GET /Oblig2/login?feilkode=1 HTTP/1.1" 200 518
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:54:26 +0200] "GET /Oblig2/login?feilkode=1 HTTP/1.1" 200 518
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:54:27 +0200] "GET /Oblig2/login?feilkode=1 HTTP/1.1" 200 518
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:54:28 +0200] "GET /Oblig2/login?feilkode=1 HTTP/1.1" 200 518
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:54:29 +0200] "GET /Oblig2/login?feilkode=1 HTTP/1.1" 200 518
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:54:29 +0200] "GET /Oblig2/login?feilkode=1 HTTP/1.1" 200 518
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:54:30 +0200] "GET /Oblig2/login?feilkode=1 HTTP/1.1" 200 518
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:54:31 +0200] "GET /Oblig2/login?feilkode=1 HTTP/1.1" 200 518
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:54:32 +0200] "GET /Oblig2/login?feilkode=1 HTTP/1.1" 200 523
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:54:32 +0200] "GET /Oblig2/login?feilkode=1 HTTP/1.1" 200 523
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:54:34 +0200] "GET /Oblig2/login?feilkode=1 HTTP/1.1" 200 523
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:54:39 +0200] "GET /Oblig2/login?feilkode=1 HTTP/1.1" 200 523
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:54:40 +0200] "GET /Oblig2/login?feilkode=1 HTTP/1.1" 200 523
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:54:40 +0200] "GET /Oblig2/login?feilkode=1 HTTP/1.1" 200 523
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:54:40 +0200] "GET /Oblig2/login?feilkode=1 HTTP/1.1" 200 523
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:54:41 +0200] "GET /Oblig2/login?feilkode=1 HTTP/1.1" 200 523
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:54:42 +0200] "GET /Oblig2/login?feilkode=1 HTTP/1.1" 200 518
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:54:43 +0200] "GET /Oblig2/login?feilkode=1 HTTP/1.1" 200 518
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:54:43 +0200] "GET /Oblig2/login?feilkode=1 HTTP/1.1" 200 518
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:54:58 +0200] "GET /Oblig2/login?feilkode=1 HTTP/1.1" 200 518
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:54:58 +0200] "GET /Oblig2/login?feilkode=1 HTTP/1.1" 200 518
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:55:01 +0200] "GET /Oblig2/login?feilkode=1 HTTP/1.1" 200 518
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:55:04 +0200] "GET /Oblig2/login?feilkode=1 HTTP/1.1" 200 519
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:55:16 +0200] "GET /Oblig2/login?feilkode=1 HTTP/1.1" 200 519
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:55:21 +0200] "GET /Oblig2/login?feilkode=1 HTTP/1.1" 200 519
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:55:22 +0200] "GET /Oblig2/login?feilkode=1 HTTP/1.1" 200 517
